Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city's water supply,​Adaptation action,Action description,City Location,Country Location
50680,Cascais,Cascais,Portugal,Europe,Public,,2017,Increased water stress or scarcity,Water metering,Elimination of contaminants discharges to streams Monitoring of uncontrolled discharges in drainage networks in intense rainfall situations,"(38.6970565, -9.4222945)","(39.399872, -8.224454)"
31175,City of Paris,Paris,France,Europe,Public,C40,2017,Flooding,Other,set crises management plan and set building prevention plan,"(48.856614, 2.3522219)","(46.227638, 2.213749)"
50680,Cascais,Cascais,Portugal,Europe,Public,,2017,Declining water quality,Conservation awareness and education,Public awareness of water resources valorization Rehabilitation and maintenance on supply network infrastructure Adoption of an incentive tariff scheme for efficient use of water,"(38.6970565, -9.4222945)","(39.399872, -8.224454)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,Public,C40,2017,Inadequate or aging infrastructure,Other,Renewal of water purification plant,"(35.6896342, 139.6921007)","(36.204824, 138.252924)"
31172,Mexico City,Mexico City,Mexico,Latin America,Public,C40,2017,Increased water stress or scarcity,Conservation awareness and education,"Water saving program in offices and public buildings, and collecting rainwater - awareness and education -
Soil conservation works and soil water conservation - promoting water harvesting and aquifer recharge -
Using ecotecnias water harvesting for irrigation of crops - promoting uptake and use of rainwater production- oriented programs","(19.4326077, -99.133208)","(23.634501, -102.552784)"
31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,Public,C40,2017,Water losses,Investment in existing water supply infrastructure,"Water supply and distribution falls under State jurisdiction, outside of the municipality's competencies, and is managed by CEDAE - The State Company for Water and Sewage.

To avoid wasting water, CEDAE invests in technologies and personnel to extend network monitoring and reduce response time against leaks. The Operational Control Center (CCO), the geophones, the trucks with compressors coupled in the car bodies, night repair teams and the replacement of the water distribution network and sewage collection are examples of actions that contribute to the reduction of losses. 
Operating 24 hours, the CCO has videowall, allowing teams to quickly detect pipeline leaks and supply anomalies. In case of leaks, a technical team of the company is sent to the problem.","(-22.9054389, -43.5614471)","(-14.235004, -51.92528)"
31169,Government of Hong Kong Special Administrative Region,Hong Kong,Hong Kong,East Asia,Public,C40,2017,Inadequate or aging infrastructure,Other,"Rehabilitation and Replacement Programme
Starting from 2000, we have implemented a comprehensive and cost-effective management plan for the water supply network.  This involves the replacement and rehabilitation of some 3 000 kilometres of aged water mains in stages to rejuvenate the water supply network. As the condition of the water supply network will be strengthened upon completion of the works, the anticipated number of pipe failures per year will be reduced significantly.  The disturbances due to disruption of traffic, loss of trade, inconvenience to the general public and disruption of water supply to consumers arising from main leaks and bursts will be minimized. Moreover, the loss of treated water through leakage and bursting of water mains will also be reduced.","(22.2880809, 114.1398015)","(22.396428, 114.109497)"
49787,City of Benicia,Benicia,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"The City is implementing a multi-pronged public outreach campaign that includes the following elements:

· A postcard mailed to all residents reminding them of outdoor watering limits listed earlier in this report and a media release on the same topic.

· The Mayor’s Challenge campaign to encourage Benicia residents to take an on-line water conservation pledge.

· City booth at the weekly Farmer’s Market (April – October) with water conservation materials.

· Signs highlighting the City’s Parks & Community Services Department’s water conservation efforts (i.e. evapotranspiration controllers, drip irrigation and turf replacement) at various locations.

· An updated flier with water conservation tips.

· Displays at City Hall and the Library.

Benicia citizens also have access to two free home assessment programs, WattzOn and SCWA’s home audit programs that can inform water conservation decisions by providing information on how water is being used and on suggestions for ways to conserve. The WaterSmart provides tailored information home water report on water use and conservation options to those residents in the program.","(38.049365, -122.1585777)","(37.09024, -95.712891)"
50383,Prefeitura de Sorocaba,Sorocaba,Brazil,Latin America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"At the moment, the greatest efforts of the city are dedicated to advancing the ability to pump water and works to improve water distribution, in view of the growing city. In addition, we have a Loss Control Program, with defined actions and deadlines to meet.","(-23.4774899, -47.4220615)","(-14.235004, -51.92528)"
36254,Comune di Venezia,Venezia,Italy,Europe,Public,C40,2017,Increased water stress or scarcity,Water metering,"A dynamic protection"" for each well has been set up by defining a buffer zone based on the ""60 days isochrone"". There has also been defined the optimal location for a monitoring and warning network that will detect the presence of pollutants that can affect the wells before the pollutants reach pickup area: launched on an experimental basis, it will be applied to all the venetian area.","(45.4332515, 12.3210704)","(41.87194, 12.56738)"
31159,Alcaldía Metropolitana de Caracas,Caracas,Venezuela,Latin America,Public,C40,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"As explained, a national plan for drinking water infrastructure modernization is being conducted by the national government. This infrastructure development is made with funds from the Interamerican Development Bank.","(10.4696404, -66.8037185)","(6.42375, -66.58973)"
31187,Seoul Metropolitan Government,Seoul ,South Korea,East Asia,Public,C40,2017,Increased water stress or scarcity,Conservation awareness and education,Promoting tap water conservation through installation of water-saving technology and civic education,"(37.566535, 126.9779692)","(35.907757, 127.766922)"
31187,Seoul Metropolitan Government,Seoul ,South Korea,East Asia,Public,C40,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),"Operating an alert system on algae to prepare for the spike of algae in water source of Han River, and gradually introducing advanced treatment system for water supplyReusing treated sewage water, and implementing policies on gray water and rainwater management in order for a systematic and sustainable use of water resources, including underground water","(37.566535, 126.9779692)","(35.907757, 127.766922)"
31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,Public,C40,2017,Increased water stress or scarcity,Water metering,"A new law proposed by Rio City Hall was approved to oblige new multifamiliar buildings to have individual hydrometers.
Rio is also investing in assessments to identify opportunities in energy and water consumption in buildings, aiming to raise awareness and apply solutions to increase energy and water efficiency.","(-22.9054389, -43.5614471)","(-14.235004, -51.92528)"
31090,District of Columbia,"Washington, DC",USA,North America,Public,C40,2017,Water losses,Other,The 2010 Washington Metropolitan Area Water Supply Report indicates that mandatory water restrictions may be necessary during droughts and that DC Water should work with the Interstate Commission on the Potomac River Basin and other regional water utilities to review drought management practices that will conserve water storage in both local and upstream reservoirs.,"(38.9071923, -77.0368707)","(37.09024, -95.712891)"
31090,District of Columbia,"Washington, DC",USA,North America,Public,C40,2017,Increased water stress or scarcity,Use of non-potable water indoors (within buildings),The Climate Ready DC Plan calls for the District to: reduce water demand and increase combined sewer system capacity with water recycling and reuse; and explore the use of distributed rainwater harvesting and grey/black water recycling to reduce demand on potable water systems during shortages or disruptions. Additionally changes were made to the District’s building codes to allow for greywater/rainwater capture and resuse.,"(38.9071923, -77.0368707)","(37.09024, -95.712891)"
31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,Public,C40,2017,Declining water quality,Conservation incentives,"Water supply and distribution falls under State jurisdiction, outside of the municipality's competencies, and is managed by CEDAE - The State Company for Water and Sewage. 
In the streams under city responsibilitie there is a program called ""River Guardians"", in a free translation, which aims to improve water quality of urban rivers.","(-22.9054389, -43.5614471)","(-14.235004, -51.92528)"
31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,Public,C40,2017,Other: Source,Diversifying water supply (including new sources),"Water supply and distribution falls under State jurisdiction, outside of the municipality's competencies, and is managed by CEDAE - The State Company for Water and Sewage. The city is discussing ways to approach other municipalities and the state to address the problem.
In other hand, the City is pushing to incentivize reuse of rain water through actions like the “Mapa de Uso de Água de Chuva”, Map for Rain Water Use in a free translation. This is a web map application that presents the result of a study developed within the municipality to estimate the potential for rain water collection in each rooftop of Rio. The citizen can find its own building, be aware of it rain water collection capacity and get information on how to build a rain water collection system and its benefits, all in one website (http://pcrj.maps.arcgis.com/apps/MapJournal/index.html?appid=f6f9875485914fafb85ac69d0b004bef)","(-22.9054389, -43.5614471)","(-14.235004, -51.92528)"
35877,City of Pittsburgh,Pittsburgh,USA,North America,Public,,2017,Declining water quality,Watershed preservation,"With the green infrastructure plan we are looking at options to daylight streams, restore wetlands and reduce impervious surfaces.","(40.4406248, -79.9958864)","(37.09024, -95.712891)"
35863,City of Durban,Durban,South Africa,Africa,Public,C40,2017,Inadequate or aging infrastructure,Other,"A number of innovative approaches have been put into practise, or which are being actively pursued. These include: Methodologies used to empty Ventilated Improved Pit (VIP) toilets. Developing low cost, low maintenance sewage treatment system - which does not require electricity - with the effluent providing irrigation to a community garden. Once developed to meet local water quality standards the treatment system will facilitate the provision of water borne sewerage to Housing schemes situated in areas outside that served by Municipal sewerage infrastructure. Investigating water conservation by adopting catchment management practices which incorporate the payment for certain ecosystem practices. The investigation will add to the alternatives to large dams, Cultivation of a specific oil producing species of algae using treatment works effluent. In addition to supplying a bio-diesel this process having the added advantage of removing excess nutrients from the final effluent. The generation of hydro-electric power by utilising the high pressures inherent in the water supply mains.","(-29.8586804, 31.0218404)","(-30.559482, 22.937506)"
36286,Comune di Ferrara,Ferrara,Italy,Europe,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Educating citizens to consume less water and infrastructural work to lower the water intakes in the river Po,"(44.8357395, 11.6189949)","(41.87194, 12.56738)"
1093,City of Atlanta,Atlanta,USA,North America,Public,,2017,Increased water stress or scarcity,Investment in existing water supply infrastructure,"The city is building a new reservoir, fixing the sewage  infrastructure , and increasing the green infrastructure","(33.7489954, -84.3879824)","(37.09024, -95.712891)"
20113,City of Vancouver,Vancouver,Canada,North America,Public,C40,2017,Increased water stress or scarcity,Municipal water efficiency retrofits,"The recently-passed 2016-2020 Clean Water Program will expand water conservation programs across all consumer sectors and all City facilities and parks, with a goal to reduce city and corporate water consumption per-capita by 33% by 2020. Continuing programs: hydrant leak detection improvements: projected annual savings of $200,000 and 2 million litres of water; expanding water metering to all sectors; water efficiency retrofits in City-owned buildings; ""WaterWise"" lawn and garden education; lawn sprinkling education and enforcement and revised bylaws; sale of rain barrels and indoor/outdoor water-saver kits.","(49.261226, -123.1139268)","(56.130366, -106.346771)"
31182,City of San Francisco,San Francisco,USA,North America,Public,C40,2017,Increased water stress or scarcity,Other,"The City is taking steps to supplement our water supplies through groundwater wells, recycled water for irrigation and an aggressive water conservation program. We have also developed guidelines for the use of greywater through the Laundry to Landscape pilot program. Using local water sources reduces the vulnerability that comes from being heavily dependent on distant reservoirs, while at the same time limiting the amount of water we need from the Tuolumne River and keeping our commitment to protect and preserve our watersheds.The Potable Offset Investigation evaluates the “maximum achievable” reduction in Hetch Hetchy Regional Water System demand in San Francisco through the use of onsite supplies. The Investigation builds on the 2010 UWMP Update for San Francisco by identifying opportunities to offset potable demands through the expanded use of on-site alternative supplies (including rainwater, seepage water, graywater, and blackwater) by customer class (single-family, multi-family, and non-residential) through 2035.On June 14, 2011, the SFPUC adopted the 2010 Urban Water Management Plan (UWMP) for the City and County of San Francisco. The 2010 UWMP update includes county-wide demand projections to the year 2035, compares available water supplies to meet demands and presents water demand management measures to reduce long-term water demand. Additionally, the UWMP update includes a discussion of the conservation requirement set forth in Senate Bill 7 (SBx7-7) as passed in November 2009 mandating a statewide 20% reduction in per capita water use by 2020. The updated UWMP includes a quantification of the SFPUC's water use reduction targets and plan for meeting these objectives.","(37.7749295, -122.4194155)","(37.09024, -95.712891)"
36286,Comune di Ferrara,Ferrara,Italy,Europe,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),Civil protection plan implemented,"(44.8357395, 11.6189949)","(41.87194, 12.56738)"
35868,Free and Hanseatic City of Hamburg,Hamburg,Germany,Europe,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),"There is a Programme to drain away rain water at the site of the rain incident. Besides, the city acquires water from other parts of the region.","(53.5510846, 9.9936818)","(51.165691, 10.451526)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,Public,C40,2017,Declining water quality,Other,Advanced water treatment,"(35.6896342, 139.6921007)","(36.204824, 138.252924)"
35863,City of Durban,Durban,South Africa,Africa,Public,C40,2017,Inadequate or aging infrastructure,Watershed preservation,A focus on catchment management and ecological infrastructure,"(-29.8586804, 31.0218404)","(-30.559482, 22.937506)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,Public,C40,2017,Increased water stress or scarcity,Other,Securing water resources,"(35.6896342, 139.6921007)","(36.204824, 138.252924)"
43910,City of Columbus,Columbus,USA,North America,Public,,2017,Declining water quality,Conservation awareness and education,"http://www.morpc.org/pdf/2014-12-5AdaptationStrategies.pdf
In the Short Term, ten-year planning horizon, it is recommended that the region implement strategies that focus on:
• Establishing a regional collaborative forum for regional planning for issues related to water supply, water quality and climate change impacts;
• Enhancing public and leadership education regarding water quality, water supply, and climate change;
• Increasing emergency preparedness
• Expanding the monitoring and understanding of conditions within the watershed;
• Modifying stormwater and land development ordinances to promote infiltration and reduce impervious areas.
In the Mid Term range (30-year planning horizon) strategies focus on:
• Water supply planning
• Watershed management planning (nutrient/pollutant reduction)","(39.9611755, -82.9987942)","(37.09024, -95.712891)"
31159,Alcaldía Metropolitana de Caracas,Caracas,Venezuela,Latin America,Public,C40,2017,Increased water stress or scarcity,Other,"Actions on the supply side are not in our jurisdiction. On the demand side we established a Program called ""Water for Life"" that provides tanks for water storage to more vulnerable communities. We also conduct a campaign to promote a better use of water by the communities.","(10.4696404, -66.8037185)","(6.42375, -66.58973)"
31090,District of Columbia,"Washington, DC",USA,North America,Public,C40,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"Climate Ready DC, the District’s Climate Adaptation Plan, calls for the District to: flood proof critical components of drinking water infrastructure including, but not limited to, pumping stations, raw water reservoirs, finished water storage, waste treatment facilities, building infrastructure, access roads, etc.; and implement backflow prevention techniques. DC Water has also taken steps to update their facilities, investing $13 million dollars to construct a 17.2 ft high sea wall that will provide 3 feet of freeboard from 500 year storm events.  The sea wall is expected to be complete by 2021. DC Water has also invested in portable generators and water hardening at their facilities and pump stations.","(38.9071923, -77.0368707)","(37.09024, -95.712891)"
49787,City of Benicia,Benicia,USA,North America,Public,,2017,Higher water prices,Diversifying water supply (including new sources),"Solano County Water Agency has approved the trade between Benicia and Vallejo to trade some of Benicia’s Carry-over water for Vallejo’s Permit Water, at a 1:2 ratio. Vallejo’s Permit Water comes from the same source as the North Bay Aqueduct, and can be described as a “use it or lose it” water each calendar year. The strategy of “banking” purchased Solano Project water has demonstrated that the City has stored almost one year’s worth of water in Lake Berryessa.","(38.049365, -122.1585777)","(37.09024, -95.712891)"
31114,City of Sydney,Sydney,Australia,South Asia and Oceania,Public,C40,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),"The City is investing in a number of actions to reduce the risk to our water supply.  These include installing water reuse schemes in Sydney Park and at the city's newest development area at Green Square.In September 2013, the City entered into a contract with Flow Systems for the design, construction, operation, maintenance and administration of the Green Square Water Reuse project for up to 10 years. Flow Systems is delivering the project using their wholly-owned subsidiary, Green Square Water. The project will deliver recycled stormwater to the new buildings and open spaces in the Green Square Town Centre, saving precious drinking water and reducing water bills for residents.The project will deliver up to 320 million litres of recycled stormwater to the new buildings and open spaces in the Green Square Town Centre, saving precious drinking water and reducing water bills for residents. Flow Systems is a private water utility and will be licensed to operate the Green Square Water Re-use project under the Water Industry Competition Act.  The project has moved from the concept phase to detailed design and construction. It involves the extraction of stormwater from the proposed trunk drainage system being delivered by the City and Sydney Water, and construction of recycled water treatment plant and pump station in the Green Infrastructure Centre, a restored heritage building on the former South Sydney Hospital site.","(-33.8674869, 151.2069902)","(-25.274398, 133.775136)"
31114,City of Sydney,Sydney,Australia,South Asia and Oceania,Public,C40,2017,Inadequate or aging infrastructure,Municipal water efficiency retrofits,"Since 2006, the number of parks and open spaces requiring irrigation in the Local Government Area has increased by 52 per cent. These include Wentworth Park, Redfern Park, Redfern Oval, Pirrama Park, Harmony Park, Prince Alfred Park, Paddington Reservoir Gardens, Peace Park, Lillian Fowler Reserve and Coulson Street Reserve.Council has met its 2016 target for water usage in City parks of 180L per square metre of irrigated space. City parks and open spaces are currently trending at 171L per square meter of irrigated space. The 2012 Parks Water Saving Action Plan outlines nine action items that will contribute to achieving the City’s sustainable water targets. These include staff training, new technologies and improvements to reporting.  The City has replaced the existing irrigation systems at Waterloo Oval, Edmund Resche Reserve and Pirrama Park. These upgrades will improve water efficiency and reliability of systems, and reduce the need for frequent maintenance often required by aging systems. Improvements to the data capture, via Cloudmaster, and record keeping are establishing a more reliable data set in which to evaluate and establish real water targets for high water use parks. On-going training and specifications that establish the City’s targets are providing greater efficiency in water use. As new technologies and systems become available, the City will explore each option for future alternate water supply.","(-33.8674869, 151.2069902)","(-25.274398, 133.775136)"
36286,Comune di Ferrara,Ferrara,Italy,Europe,Public,,2017,Declining water quality,Investment in existing water supply infrastructure,water depuration has been improved,"(44.8357395, 11.6189949)","(41.87194, 12.56738)"
10894,City of Los Angeles,Los Angeles,USA,North America,Public,C40,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"Increasing investment in water distribution system, new water rate structure approved to help address.","(34.0522342, -118.2436849)","(37.09024, -95.712891)"
31171,Ayuntamiento de Madrid,Madrid,Spain,Europe,Public,C40,2017,Flooding,Stormwater management (natural or man-made infrastructure),"The Madrid city has designed a wide infraestructure of storm water storage tanks.  The 37 storm water tanks can storage 1,370,250 m3.","(40.1076253, -3.3875673)","(40.463667, -3.74922)"
31113,City of Yokohama,Yokohama,Japan,East Asia,Public,C40,2017,Flooding,Conservation awareness and education,"Yokohama is preserving and nurturing the growth of headwaters forest owned by Yokohama city in the village of Doshimura, Yamanashi Prefecture. Doshi Water Conservation Forest volunteer project: improvement of forest for headwaters conservation, in collaboration with NPOs and volunteer groups Fund for Headwaters and the Doshi Forest: establishment of a fund with donations from citizens, enterprises, and groups as well as with part of theproceeds from sales of Hamakko Doshi Water, a water product sold in plastic bottles. The Fund is used to support activities for conservation of headwaters","(35.4437078, 139.6380256)","(36.204824, 138.252924)"
35863,City of Durban,Durban,South Africa,Africa,Public,C40,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,improvements to infrastructure are being done,"(-29.8586804, 31.0218404)","(-30.559482, 22.937506)"
31172,Mexico City,Mexico City,Mexico,Latin America,Public,C40,2017,Flooding,Municipal water efficiency retrofits,"Increased efficiency and capacity of wastewater treatment - Energy efficiency -
System preventive actions in case of extreme weather events -
Hydrometeorological Monitoring and Forecast System: Early Warning System 
System preventive actions in case of extreme weather events
Rehabilitation of sewage system","(19.4326077, -99.133208)","(23.634501, -102.552784)"
3429,City of Stockholm,Stockholm,Sweden,Europe,Public,C40,2017,Other: Sea Water Intruision,Investment in existing water supply infrastructure,"Slussen, one of Stockholm's biggest locks is being rebuilt to prevent sea water intrusion and flooding from and to Lake Mälaren.","(59.3293235, 18.0685808)","(60.128161, 18.643501)"
2430,City of Burlington,Burlington,USA,North America,Public,,2017,Declining water quality,Stormwater management (natural or man-made infrastructure),"Implement measures to treat stormwater runoff from existing development, and require new development to treat stormwater through the use of acceptable best management practices.","(44.4758825, -73.212072)","(37.09024, -95.712891)"
8242,City of Helsinki,Helsinki,Finland,Europe,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"Increasing investments in water and wastewater network rehabilitation;
New technology (smart water) to optimize where and when to refurbish.","(60.1733244, 24.9410248)","(61.92411, 25.748151)"
31114,City of Sydney,Sydney,Australia,South Asia and Oceania,Public,C40,2017,Flooding,Stormwater management (natural or man-made infrastructure),"In NSW, local councils are responsible for managing flooding. The NSW Government Flood Prone Land Policy assists in determining if development on floodplains is appropriate and sustainable.  The Floodplain Development Manual, developed by the NSW Government requires preparation of a Flood Study and a Floodplain Risk Management Study and development and implementation of a Floodplain Risk Management Plan.The City of Sydney local government area comprises eight drainage catchment areas in; Alexandra Canal, Blackwattle Bay, Centennial Park, City area, Darling Harbour, Johnston’s Creek, Rushcutters Bay and Woolloomooloo.The City has committed $1.8 million to city-wide Floodplain Risk Management Studies, which includes $600,000 in NSW and Federal Government grants. We have allocated $57 million for Green Square essential infrastructure drainage improvements, and $59 million over the next 10 years for drainage capacity works across Sydney.As part of our floodplain management approach, the City is undertaking the first ever city-wide look at the drainage issues and flood risks that exist in Sydney.  The work being undertaken includes a series of surveys of catchment areas.  These surveys will help us understand where drainage and mitigation works are required to ensure water flow and drainage is properly managed across the local government area.  This will dramatically reduce flood risk and safeguard local homes and businesses. The first Management Plan to be approved by Council is the Green Square West Kensington (GSWK) Floodplain Risk Management Study and Plan. This catchment is one of the lowest lying areas of our city, and subject to water ponding and flooding. The GSWK Plan proposes the creation of a large underground drainage culvert running 2.3 kilometres through the Green Square town centre from Link Road in Zetland to the Alexandra Canal. The culvert will drain floodwaters away from homes, businesses and roads in and around Joynton Avenue, Lachlan Street, South Dowling Street and Botany Road.","(-33.8674869, 151.2069902)","(-25.274398, 133.775136)"
31113,City of Yokohama,Yokohama,Japan,East Asia,Public,C40,2017,Declining water quality,Conservation awareness and education,"Yokohama is preserving and nurturing the growth of headwaters forest owned by Yokohama city in the village of Doshimura, Yamanashi Prefecture. Doshi Water Conservation Forest volunteer project: improvement of forest for headwaters conservation, in collaboration with NPOs and volunteer groups Fund for Headwaters and the Doshi Forest: establishment of a fund with donations from citizens, enterprises, and groups as well as with part of theproceeds from sales of Hamakko Doshi Water, a water product sold in plastic bottles. The Fund is used to support activities for conservation of headwaters","(35.4437078, 139.6380256)","(36.204824, 138.252924)"
35877,City of Pittsburgh,Pittsburgh,USA,North America,Public,,2017,Increased water stress or scarcity,Investment in existing water supply infrastructure,"We are replacing pipes as they fail, and the PWSA is conducting a study of pipes to identify where large leaks are and proactively repair them.","(40.4406248, -79.9958864)","(37.09024, -95.712891)"
32550,City of Denver,Denver,USA,North America,Public,,2017,Increased water stress or scarcity,Use of non-potable water indoors (within buildings),Denver is pursuing a gray water ordinance that would allow buildings to install recovery systems to use non-potable water within the same building.,"(39.737567, -104.9847179)","(37.09024, -95.712891)"
31171,Ayuntamiento de Madrid,Madrid,Spain,Europe,Public,C40,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),Madrid has deployed a wide net for the supply of recycled/treated waste water. This water is used in municipal services and in city parks and gardens and streets. This net allowed the city to save in 2011 6.2 Hm3 of  drinking water. The potential annual saving is expected to reach an amount of 22.7 Hm3 per year when the development of the net is finnished.,"(40.1076253, -3.3875673)","(40.463667, -3.74922)"
3429,City of Stockholm,Stockholm,Sweden,Europe,Public,C40,2017,Declining water quality,Investment in existing water supply infrastructure,More treatment at high concentrations of algae and particles.Long-term plan for protecting water supply in Lake Mälaren is to build barries in the Stockholm archipelago to prevent sea water intrusion. Evaluation of different techniques to reduce brownification,"(59.3293235, 18.0685808)","(60.128161, 18.643501)"
43910,City of Columbus,Columbus,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"http://www.morpc.org/pdf/2014-12-5AdaptationStrategies.pdf
In the Short Term, ten-year planning horizon, it is recommended that the region implement strategies that focus on:
• Establishing a regional collaborative forum for regional planning for issues related to water supply, water quality and climate change impacts;
• Enhancing public and leadership education regarding water quality, water supply, and climate change;
• Increasing emergency preparedness
• Expanding the monitoring and understanding of conditions within the watershed;
• Modifying stormwater and land development ordinances to promote infiltration and reduce impervious areas.
In the Mid Term range (30-year planning horizon) strategies focus on:
• Water supply planning
• Watershed management planning (nutrient/pollutant reduction)","(39.9611755, -82.9987942)","(37.09024, -95.712891)"
2430,City of Burlington,Burlington,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"Maintain adequate measures to mitigate against hazards affecting City of Burlington roads and bridges, wastewater systems, stormwater management, and water systems.","(44.4758825, -73.212072)","(37.09024, -95.712891)"
31185,City of Warsaw,Warsaw,Poland,Europe,Public,C40,2017,Increased water stress or scarcity,Conservation awareness and education,,"(52.2296756, 21.0122287)","(51.919438, 19.145136)"
31185,City of Warsaw,Warsaw,Poland,Europe,Public,C40,2017,Flooding,Stormwater management (natural or man-made infrastructure),,"(52.2296756, 21.0122287)","(51.919438, 19.145136)"
31175,City of Paris,Paris,France,Europe,Public,C40,2017,Declining water quality,Conservation incentives,"Several actions are committed to maintain the water quality : more water treatments, promote organic agriculture where groundwater is taken, mix of different water sources with different qualities to obtain a water with a better quality...For drinkable water as well as non drinkable water, a decline in the annual consumption has been observed for several years. This is partly due to an ambitious policy on water savings, for the Parisians as well as for the local government activities.","(48.856614, 2.3522219)","(46.227638, 2.213749)"
14088,City of Oslo,Oslo,Norway,Europe,Public,C40,2017,Increased water stress or scarcity,Investment in existing water supply infrastructure,"The new master plan for water supply in Oslo was adopted in august 2015. It sets goals for the water supply until 2030, and how the Oslo Water and Sewerage Works (VAV) will fulfill the statutory requirements.Through many years plans have been made on how to establish a secondary water source that can supply the city if supply from Lake Maridal and Oset is not possible. Further it will be necessary to increase the redundancy of the main pipe lines in the city. Today it is not feasible to significantly increase the total water production, without huge investments. This means that during the next 10 to 15 years Oslo will have to handle the situation with increasing population by reducing the water loss and the specific household consumption.The leakage in the water network shall be reduced from 36 % to 20 % by 2030. The detection of leakages must be intensified and it will be necessary to do so with new methods. The rate of renewal of the pipelines is set to increase from 1,0 % to 1,2 % per year. Approximately half of the water loss is from private owned pipelines, and the master plan suggests that VAV take the ownership and responsibility for the pipelines in public roads. While waiting on the secondary supply source, the current supply limits also implies that the specific household consumption will have to be reduced from 160 liter per day and person to 130 liter. Water meters are not mandatory in private households and only a very few households are today measuring their water consumption. The master plan has an objective to introduce water meters for all use of water and suggest making assessments concerning this.With the investments suggested to achieve the goals of the plan, the water fee for an ordinary household will be raised from ca. 1 700 NOK to ca. 4 000 NOK.","(59.9138688, 10.7522454)","(60.472024, 8.468946)"
35755,Village of Kadiovacik,Kadiovacik,Turkey,Europe,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,,"(38.3434574, 26.553613)","(38.963745, 35.243322)"
31090,District of Columbia,"Washington, DC",USA,North America,Public,C40,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"Climate Ready DC, the District’s Climate Adaptation Plan, calls for the District to: flood proof critical components of drinking water infrastructure including, but not limited to, pumping stations, raw water reservoirs, finished water storage, waste treatment facilities, building infrastructure, access roads, etc. Implement backflow prevention techniques; provide back-up power for emergencies at all identified critical facilities. Ensure that existing back-up power systems are located above projected flood elevations; and pursue deep energy and water efficiency for all buildings.  DC Water has also taken steps to update their facilities, investing $13 million dollars to construct a 17.2 ft high sea wall that will provide 3 feet of freeboard from 500 year storm events.  The sea wall is expected to be complete by 2021. DC Water has also invested in portable generators and water hardening at their facilities and pump stations.","(38.9071923, -77.0368707)","(37.09024, -95.712891)"
31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,Public,C40,2017,Flooding,Stormwater management (natural or man-made infrastructure),"The city has interventions being implemented or planned to be implemented very soon regarding the issues of flooding and landslide, as commented in other sections. For example, reforestation in hillsides, stormwater management structures and slope contention works.","(-22.9054389, -43.5614471)","(-14.235004, -51.92528)"
20113,City of Vancouver,Vancouver,Canada,North America,Public,C40,2017,Flooding,Other,"City recently completed a detailed coastal flood model, which identified infrastructure that could be impacted. Critical infrastructure for water is expected to be protected, adapted or relocated to minimize potential damage and disruption.","(49.261226, -123.1139268)","(56.130366, -106.346771)"
